18-08 (2)_19_10_24_21_37_51_1.jpg - distance:0.0 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_2.jpg - distance:0.07792308264823751 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_3.jpg - distance:0.11209957005494876 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_4.jpg - distance:0.1336551905739007 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_5.jpg - distance:0.18766362465813657 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_6.jpg - distance:0.299739420767158 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_7.jpg - distance:0.2773634096789939 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_8.jpg - distance:0.3757333182618594 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_9.jpg - distance:0.4191317617073726 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_10.jpg - distance:0.45501026910341236 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_11.jpg - distance:0.5751030015467661 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_12.jpg - distance:0.6104456193870167 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_13.jpg - distance:0.7621965447129124 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_14.jpg - distance:0.8556410379860238 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_15.jpg - distance:0.9454799884852657 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_16.jpg - distance:0.9964649076239134 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_17.jpg - distance:1.0652854783986605 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
